trap	x	y	south	alt	dist	loc_host	A	W
72	211353.7031	632340.875	1	726.6240234	29.5	1	2696	16
92	142408.4063	535646.1875	1	240.718399	30	1	7	18
97	142721	535212.8125	1	240.468399	30	1	169	19
910	142770.7969	535113.3125	1	244.8809052	30	0	32	19
911	142834.7031	535013.8125	1	246.4828949	30	0	1	9
913	145416.5938	536192	1	232.6737976	29	0	0	
916	145820.5	535984.375	1	240.7438965	29	0	0	
917	145947.4063	535880.5	1	240.6470032	29	0	13	20
925	145016.0938	533052.6875	1	229.997406	0	0	177	19
926	145087.0938	532981.6875	1	232.6425934	0	1	935	18
932	149428.5	523133.5938	1	339.9020081	35	0	33	18
933	149492.5	522998.5938	1	342.9693909	11.5	1	7	17
935	149613.2969	522806.8125	1	331.4320984	35	1	8	19
938	142891.5938	534893	1	231.4125977	30	1	769	19
939	163979.7969	537645.3125	1	393.4511108	17	0	0	
1035	201154	634687.8125	0	308.6268921	12	1	563	8
1200	186323.2031	642503.1875	0	83.74842834	0	1	1081	1
1205	181362.5	641539.3125	0	74.65589905	0	1	611	2
1220	182667.0938	644613.8125	0	63.7432785	0	1	2684	9
1225	191857.5	644420.875	0	103.8760986	4.5	0	70	16
1240	194722	624393.6875	0	270.178894	15	1	495	12
1245	176976.7031	624799.6875	0	76.09757233	5.5	1	848	9
1260	198461.7031	621862.125	0	296.8015137	19	0	54	11
1270	217514.7031	593110.375	1	743.2069702	20	1	301	15
1271	215342.5938	575664.5	1	508.693512	20	1	377	14
1274	206585.5938	585091	0	739.5062866	22	1	5	25
1280	207571.7031	635134.6875	0	645.7282715	22.5	1	497	16
1290	212046.7031	619357.375	0	922.4255981	37.5	1	273	18
1291	209613	619455.1875	0	710.5842285	36	1	36	18
1292	209832	619211.8125	0	756.2664795	36	1	17	21
1295	205453.9063	627896.3125	0	663.4232178	25	1	82	17
1305	220916.4063	627166.875	1	800	25	1	812	17
1308	200775.2969	628348.125	0	243.6983032	12	1	368	11
1310	200448.9063	630602.625	0	279.3772888	15	1	996	2
1311	197834.2969	633887.3125	0	221.283905	10	1	251	0
1315	213641.7969	616015.5	0	914.0906982	35.2	1	20	19
1319	206019.2969	633935.3125	0	663.1060791	21.5	1	203	18
1320	203339	633698.8125	0	557.8052979	19	1	6	15
1321	184543.2969	607251.125	0	240.0041962	14	1	23	17
1322	190148.5938	613406	0	283.1012878	16	1	35	20
1323	182446.5	611705.375	0	169.7937012	9.5	1	1655	15
1325	177623.2969	640841.375	0	30	0	1	1051	14
1326	174716.2031	617233.5	0	92.82103729	0	1	142	6
1327	169781.0938	618793.1875	0	96.41808319	0	1	190	10
1328	194097	602847.875	0	412.0217896	14	1	4	10
1334	193780.9063	634778.8125	0	168.712204	12	1	1849	15
1337	186764	635018.1875	0	80.169487	5	1	2686	13
1342	180671.5938	628736	0	66.39977264	0	1	3055	6
1344	236558.7031	595491.5	0	-284.553009	0	1	276	2
1362	206988.4063	631291.875	0	737.6464233	25	1	616	17
1383	162703.0938	611978.375	0	80.96338654	0	1	756	6
1384	163234.5	611215.875	0	100.2897034	0	1	2087	10
9103	173262.5	551226.1875	1	291.7762146	0	0	15	17
9105	173412.9063	551082.875	1	294.547699	0	0	23	17
9106	173470.2969	550996.875	1	296.0118103	0	0	13	18
9112	173914.5	550531.1875	1	308.96521	0	0	1228	6
9115	173212.2969	551061.375	1	294.098999	0	0	97	1
9118	179517.4063	546561.875	1	350.0892944	7.5	0	205	18
9119	179574.7031	546511.6875	1	352.1677856	7.5	0	86	19
9123	179782.5	546332.625	1	360.6401978	7.5	0	1191	17
9128	179947.2969	545945.6875	1	369.9989014	7.5	1	29	1
9129	179424.2031	546497.375	1	350.7919006	7.5	1	2	3
9130	179452.9063	546418.625	1	352.6978149	7.5	0	8	21
9131	177962.5938	544899.625	1	370.9979858	7.01	0	120	19
9136	171710.5938	542099.3125	1	319.2167053	9	0	45	17
9139	171941.2969	541810.8125	1	318.6169128	9	0	37	18
9143	173520.4063	550710.3125	1	300.1051025	0	1	1018	1
9144	173613.5	550631.5	1	301.549408	0	1	852	0
9202	180170.2031	508200.4063	1	771.7852783	43	0	3	26
9203	180364.2969	508209.6875	1	768.8842773	43	0	10	21
9204	178351.2969	529513.1875	1	504.1037903	22	0	492	17
9205	178497.5	529429.6875	1	506.1875	22	1	117	18
9206	180199	532227.3125	1	505.0871887	20	1	908	18
9210	180616.5938	531799.3125	1	500	20	0	50	25
9212	181233.2031	503754.5938	1	830.2802734	48	1	34	19
9219	181251.7031	503005.9063	1	846.4749756	48	1	42	24
9221	181279.4063	502867.3125	1	840.1328125	48	1	0	
9222	198929.0938	550855.3125	1	560.0332031	26	1	994	18
9225	192364	544892.375	1	493.1989136	20	0	155	19
9226	192535.9063	544870.875	1	495.9736938	20	1	80	19
9232	199143.4063	550653.625	1	559.0070801	26	0	9	10
9235	199422.7969	550417.1875	1	567.3433228	26	0	1	21
9252	201824.2031	554617.125	1	652.1754761	28	1	8	20
9254	201816.9063	554343.875	1	641.0443726	28	1	0	
9256	201839	554085.375	1	609.7808228	28	1	25	19
9257	201839	553974.6875	1	600.1990967	28	1	221	18
9259	201809.5	553701.5	1	581.9628906	28	1	176	18
9260	201831.5938	553539.125	1	570.6522217	28	1	60	26
9262	192851.0938	544320.8125	1	529.8864746	20	1	343	19
